timestamp,TCP_packets,TCP_bytes,TCP_flags,ARP_packets,ARP_bytes,UDP_packets,UDP_bytes,TLS_detected,QUIC_packets,QUIC_bytes,ICMP_packets,ICMP_bytes,minute
2024-10-02 16:15:50.621583,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.622057,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.645897,1.0,177.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.678617,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.695389,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.696297,1.0,143.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.696765,1.0,100.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.749169,1.0,186.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.750843,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.798853,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.802127,1.0,163.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.802144,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.802155,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.802421,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.802640,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803321,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803337,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803348,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803357,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803509,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803648,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.803718,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.804013,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.804028,1.0,4194.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.804106,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805012,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805021,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805183,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805584,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805590,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805598,1.0,2814.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805633,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805940,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.805947,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.806011,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.806585,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.806591,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.806596,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.806767,1.0,54.0,A,,,,,,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.809185,1.0,1434.0,PA,,,,,True,,,,,2024-10-02 16:15:00
2024-10-02 16:15:50.809188,1.0,1434.0,A,,,,,True,,,,,2024-10-02 16:15:00
