total_packets,total_bytes,bytes_per_packet,TCP_ratio,ICMP_ratio,ARP_ratio,UDP_ratio
-0.977219385,-0.506451751,-0.050345884,0.6159888365887639,0.6668465778204565,-0.928047204,0.5475671709941649
0.8768781108617836,0.25179838027873563,-0.032188235,0.727044221,0.8967763174906097,-1.038278843,-0.429582002
0.4189121057441781,0.000583471,-0.140118173,0.28622514517978237,-0.186850922,-0.122796194,-0.886182312
0.3753897136982562,0.046127039,-0.035093541,1.1611971223378768,-0.686356352,-0.835401424,-0.326390929
0.24554912173487986,0.011992050824896178,-0.001677067,-0.151041582,1.156497471,-0.683899903,3.8704771918495835
0.14048505011818027,-0.008406331,0.042249083,0.8072431745010671,-0.90104722,-0.583299145,1.6180882175640388
0.6240994765917297,0.1631263595937779,-0.010657834,0.24642756051442571,0.7736848842259356,-0.519514554,-0.382810147
0.4218911008591744,0.077185537,-0.014879338,1.3909628760579802,-1.083291903,-0.848403269,-0.886182312
1.311666080816369,0.20560534211414994,-0.297896069,1.2966848683111052,-1.155396591,-0.726381871,-0.886182312
0.32532806408283016,-0.10296476,-0.258277475,-0.17694837,2.266552898399992,-0.820780949,0.8319539818778182
4.1993295650919515,4.164149893060957,1.561017003508474,1.181251121424244,-0.28453407,-1.003636174,-0.475066901
0.6671132597155791,4.167693213295646,5.958630060767797,0.089167827,0.9682098873306534,-0.44247275,-0.391433974
-1.183787266,-0.648727333,-0.387980494,-3.281098385,1.7337814236293938,2.4366764487627526,0.9964329106192075
-1.421525608,-0.73055737,-0.456047648,-2.945642829,-1.338985042,3.5264473445672953,-0.886182312
-0.679319874,-0.479685068,-0.350461101,-0.427641593,-1.090217191,0.7444668562521427,1.2476205882901767
-1.024084065,-0.5584305,-0.202385055,-1.06654905,-0.985562217,1.389731540903725,0.6295574553141322
-0.942924612,-0.57088588,-0.376799432,-0.646850623,-0.05268106,0.6119505242402992,0.4929745801420523
-0.809741733,-0.501709747,-0.27782741,-0.86478995,-0.778684805,1.2502686872350992,-0.886182312
-1.298660224,-0.679185968,-0.350811426,-1.583967927,-0.807484237,1.970287363509478,-0.886182312
0.6918171216448169,0.1741777749882326,-0.035681266,0.7187514484466011,0.7172582222015034,-0.914455831,-0.886182312
-0.569024396,-0.416063346,-0.26757667,-1.139682438,2.069625184209324,0.36914080346092526,-0.886182312
0.4181128631523498,-0.06773346,-0.253165013,-0.187636445,0.7099771986207535,-0.122320531,0.21225182019302416
0.45582258180315693,0.014298131404326274,-0.140505901,-0.253129743,1.054254909464477,-0.14440291,-0.345972219
0.095073539,-0.207108213,-0.305486885,-0.450448962,0.9019954162558803,-0.018789073,1.0360156682896293
0.996691841,0.23915398172547045,-0.113416257,0.8279190631650698,-0.319247497,-0.726526217,0.4258354543414386
0.22767515104490194,-0.143380929,-0.270208138,0.51826971,-0.220310741,-0.337822592,-0.886182312
-1.024229381,-0.580345102,-0.302685757,0.6744978236158129,-1.338985042,-0.039298281,-0.886182312
-1.000324762,-0.549965598,-0.202930476,0.4335991949418586,-1.338985042,0.1979806854545938,-0.886182312
-0.410483729,-0.331996129,-0.19015456,0.6322172323289634,-0.530577814,-0.324582337,-0.886182312
0.031134131872583525,-0.214524231,-0.277535201,-0.284586339,1.441908249422641,-0.469167674,1.7641593418073451
1.1840052413761606,0.3530727077283705,-0.061534112,0.9082196563032156,-0.19100759,-0.849827701,0.3446628367388575
-0.393409001,-0.325093612,-0.188403025,-0.90823743,0.6582372833280566,0.6311852024848952,-0.029624928
0.6444438334746314,0.027519815838287914,-0.228222406,0.40518347109416697,-0.058465916,-0.433121202,0.6115861810178678
-0.122175129,-0.243761951,-0.227073913,0.2606392915295693,-0.497718784,-0.107963352,0.5570076960415631
-0.794047515,-0.510800499,-0.329576093,-0.026939998,-1.063024084,0.5399981250097244,-0.886182312
-0.938637766,-0.535998229,-0.237487379,-0.502308693,-1.018932369,0.8609598326194235,0.48644144030543457
-0.978890529,-0.534903401,-0.171114988,-0.074552374,-1.338985042,0.6984969381289208,-0.886182312
-0.178776036,-0.237124427,-0.166733613,0.48294673808763033,0.5747240502289602,-0.624551755,-0.886182312
0.5276817566502634,-0.006801664,-0.217003358,0.5712058394740478,0.49315862102686087,-0.777290737,0.16149686639720223
-0.131838698,-0.203878197,-0.131954953,0.7364105079459465,0.18384293675546806,-0.78455788,-0.160513615
